"","Species","Genus","Subfamily","Family","Order"
"1","Abalistes stellaris","Abalistes",NA,"Balistidae","Tetraodontiformes"
"2","Abalistes stellatus","Abalistes",NA,"Balistidae","Tetraodontiformes"
"3","Abbottina liaoningensis","Abbottina",NA,"Cyprinidae","Cypriniformes"
"4","Abbottina rivularis","Abbottina",NA,"Cyprinidae","Cypriniformes"
"5","Ablennes hians","Ablennes",NA,"Belonidae","Beloniformes"
"6","Abramis brama","Abramis","Leuciscinae","Cyprinidae","Cypriniformes"
"7","Abudefduf abdominalis","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"8","Abudefduf bengalensis","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"9","Abudefduf concolor","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"10","Abudefduf declivifrons","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"11","Abudefduf hoefleri","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"12","Abudefduf lorenzi","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"13","Abudefduf luridus","Abudefduf",NA,"Pomacentridae","Incertae sedis in Ovalentaria"
"14","Abudefduf margariteus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"15","Abudefduf notatus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"16","Abudefduf saxatilis","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"17","Abudefduf septemfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"18","Abudefduf sexfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"19","Abudefduf sordidus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"20","Abudefduf sparoides","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"21","Abudefduf taurus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"22","Abudefduf troschelii","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"23","Abudefduf vaigiensis","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"24","Abudefduf whitleyi","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"25","Abyssocottus gibbosus","Abyssocottus",NA,"Cottidae","Perciformes"
"26","Abyssocottus korotneffi","Abyssocottus",NA,"Cottidae","Perciformes"
"27","Acanthalburnus microlepis","Acanthalburnus",NA,"Cyprinidae","Cypriniformes"
"28","Acanthaluteres spilomelanurus","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes"
"29","Acanthaluteres vittiger","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes"
"30","Acantharchus pomotis","Acantharchus",NA,"Centrarchidae","Centrarchiformes"
"31","Acanthemblemaria aspera","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"32","Acanthemblemaria betinensis","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"33","Acanthemblemaria castroi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"34","Acanthemblemaria chaplini","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"35","Acanthemblemaria crockeri","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"36","Acanthemblemaria exilispinus","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"37","Acanthemblemaria greenfieldi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"38","Acanthemblemaria hancocki","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"39","Acanthemblemaria macrospilus","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"40","Acanthemblemaria maria","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"41","Acanthemblemaria medusa","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"42","Acanthemblemaria paula","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"43","Acanthemblemaria rivasi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"44","Acanthemblemaria spinosa","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"45","Acanthicus adonis","Acanthicus","Hypostominae","Loricariidae","Siluriformes"
"46","Acanthistius cinctus","Acanthistius",NA,"Serranidae","Perciformes"
"47","Acanthistius ocellatus","Acanthistius",NA,"Serranidae","Perciformes"
"48","Acanthobrama lissneri","Acanthobrama","Leuciscinae","Cyprinidae","Cypriniformes"
"49","Acanthobrama marmid","Acanthobrama","Leuciscinae","Cyprinidae","Cypriniformes"
"50","Acanthobrama mirabilis","Acanthobrama",NA,"Cyprinidae","Cypriniformes"
"51","Acanthobrama terraesanctae","Acanthobrama",NA,"Cyprinidae","Cypriniformes"
"52","Acanthochaenus luetkenii","Acanthochaenus",NA,"Stephanoberycidae","Beryciformes"
"53","Acanthochromis polyacanthus","Acanthochromis","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"54","Acanthocobitis botia","Acanthocobitis",NA,"Nemacheilidae","Cypriniformes"
"55","Acanthocobitis pavonacea","Acanthocobitis",NA,"Nemacheilidae","Cypriniformes"
"56","Acanthocobitis zonalternans","Acanthocobitis",NA,"Nemacheilidae","Cypriniformes"
"57","Acanthocybium solandri","Acanthocybium","Scombrinae","Scombridae","Scombriformes"
"58","Acanthodoras cataphractus","Acanthodoras","Astrodoradinae","Doradidae","Siluriformes"
"59","Acanthodoras spinosissimus","Acanthodoras","Astrodoradinae","Doradidae","Siluriformes"
"60","Acanthodraco dewitti","Acanthodraco","Gymnodraconinae","Bathydraconidae","Perciformes"
"61","Acanthogobio guentheri","Acanthogobio",NA,"Cyprinidae","Cypriniformes"
"62","Acanthogobius flavimanus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes"
"63","Acanthogobius lactipes","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes"
"64","Acantholabrus palloni","Acantholabrus",NA,"Labridae","Labriformes"
"65","Acantholiparis opercularis","Acantholiparis",NA,"Liparidae","Perciformes"
"66","Acantholumpenus mackayi","Acantholumpenus",NA,"Stichaeidae","Perciformes"
"67","Acanthopagrus australis","Acanthopagrus",NA,"Sparidae","Spariformes"
"68","Acanthopagrus berda","Acanthopagrus",NA,"Sparidae","Spariformes"
"69","Acanthopagrus bifasciatus","Acanthopagrus",NA,"Sparidae","Spariformes"
"70","Acanthopagrus butcheri","Acanthopagrus",NA,"Sparidae","Spariformes"
"71","Acanthopagrus catenula","Acanthopagrus",NA,"Sparidae","Spariformes"
"72","Acanthopagrus chinshira","Acanthopagrus",NA,"Sparidae","Spariformes"
"73","Acanthopagrus latus","Acanthopagrus",NA,"Sparidae","Spariformes"
"74","Acanthopagrus pacificus","Acanthopagrus",NA,"Sparidae","Spariformes"
"75","Acanthopagrus schlegelii schlegelii","Acanthopagrus",NA,"Sparidae","Spariformes"
"76","Acanthopagrus sivicolus","Acanthopagrus",NA,"Sparidae","Spariformes"
"77","Acanthopagrus taiwanensis","Acanthopagrus",NA,"Sparidae","Spariformes"
"78","Acanthopoma annectens","Acanthopoma","Stegophilinae","Trichomycteridae","Siluriformes"
"79","Acanthopsoides gracilentus","Acanthopsoides",NA,"Cobitidae","Cypriniformes"
"80","Acanthopsoides hapalias","Acanthopsoides",NA,"Cobitidae","Cypriniformes"
"81","Acanthopsoides molobrion","Acanthopsoides",NA,"Cobitidae","Cypriniformes"
"82","Acanthopsoides robertsi","Acanthopsoides",NA,"Cobitidae","Cypriniformes"
"83","Acanthorhodeus chankaensis","Acanthorhodeus",NA,"Cyprinidae","Cypriniformes"
"84","Acanthostracion polygonius","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes"
"85","Acanthostracion quadricornis","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes"
"86","Acanthurus achilles","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"87","Acanthurus auranticavus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"88","Acanthurus bahianus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"89","Acanthurus bariene","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"90","Acanthurus blochii","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"91","Acanthurus chirurgus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"92","Acanthurus coeruleus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"93","Acanthurus dussumieri","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"94","Acanthurus guttatus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"95","Acanthurus japonicus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"96","Acanthurus leucocheilus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"97","Acanthurus leucosternon","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"98","Acanthurus lineatus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"99","Acanthurus mata","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"100","Acanthurus monroviae","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"101","Acanthurus nigricans","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"102","Acanthurus nigricauda","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"103","Acanthurus nigrofuscus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"104","Acanthurus nigroris","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"105","Acanthurus nubilus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"106","Acanthurus olivaceus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"107","Acanthurus polyzona","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"108","Acanthurus pyroferus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"109","Acanthurus tennentii","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"110","Acanthurus thompsoni","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"111","Acanthurus triostegus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"112","Acanthurus xanthopterus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes"
"113","Acantopsis choirorhynchos","Acantopsis",NA,"Cobitidae","Cypriniformes"
"114","Acantopsis dialuzona","Acantopsis",NA,"Cobitidae","Cypriniformes"
"115","Acarichthys heckelii","Acarichthys","Geophaginae","Cichlidae","Cichliformes"
"116","Acaronia nassa","Acaronia","Cichlasomatinae","Cichlidae","Cichliformes"
"117","Acaronia vultuosa","Acaronia","Cichlasomatinae","Cichlidae","Cichliformes"
"118","Acentrogobius audax","Acentrogobius","Gobiinae","Gobiidae","Gobiiformes"
"119","Acentrogobius chlorostigmatoides","Acentrogobius","Gobiinae","Gobiidae","Gobiiformes"
"120","Acentrogobius janthinopterus","Acentrogobius","Gobiinae","Gobiidae","Gobiiformes"
"121","Acentrogobius pflaumii","Acentrogobius","Gobiinae","Gobiidae","Gobiiformes"
"122","Acentrogobius viridipunctatus","Acentrogobius","Gobiinae","Gobiidae","Gobiiformes"
"123","Acentronichthys leptos","Acentronichthys",NA,"Heptapteridae","Siluriformes"
"124","Acestridium gymnogaster","Acestridium","Hypoptopomatinae","Loricariidae","Siluriformes"
"125","Acestridium martini","Acestridium","Hypoptopomatinae","Loricariidae","Siluriformes"
"126","Acestridium scutatum","Acestridium","Hypoptopomatinae","Loricariidae","Siluriformes"
"127","Acestrocephalus sardina","Acestrocephalus","Characinae","Characidae","Characiformes"
"128","Acestrorhynchus abbreviatus","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"129","Acestrorhynchus altus","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"130","Acestrorhynchus britskii","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"131","Acestrorhynchus falcatus","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"132","Acestrorhynchus falcirostris","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"133","Acestrorhynchus grandoculis","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"134","Acestrorhynchus heterolepis","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"135","Acestrorhynchus lacustris","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"136","Acestrorhynchus microlepis","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"137","Acestrorhynchus minimus","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"138","Acestrorhynchus nasutus","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"139","Acestrorhynchus pantaneiro","Acestrorhynchus","Acestrorhynchinae","Acestrorhynchidae","Characiformes"
"140","Acheilognathus barbatulus","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"141","Acheilognathus cyanostigma","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"142","Acheilognathus gracilis","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"143","Acheilognathus hypselonotus","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"144","Acheilognathus imberbis","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"145","Acheilognathus longibarbatus","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"146","Acheilognathus longipinnis","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"147","Acheilognathus macropterus","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"148","Acheilognathus majusculus","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"149","Acheilognathus melanogaster","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"150","Acheilognathus meridianus","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"151","Acheilognathus omeiensis","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"152","Acheilognathus polylepis","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"153","Acheilognathus rhombeus","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"154","Acheilognathus signifer","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"155","Acheilognathus tabira erythropterus","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"156","Acheilognathus tabira jordani","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"157","Acheilognathus tabira nakamurae","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"158","Acheilognathus tabira tabira","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"159","Acheilognathus tabira tohokuensis","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"160","Acheilognathus tonkinensis","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"161","Acheilognathus typus","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"162","Acheilognathus yamatsutae","Acheilognathus",NA,"Cyprinidae","Cypriniformes"
"163","Achiropsetta tricholepis","Achiropsetta",NA,"Rhombosoleidae","Pleuronectiformes"
"164","Achirus declivis","Achirus",NA,"Achiridae","Pleuronectiformes"
"165","Achirus lineatus","Achirus",NA,"Achiridae","Pleuronectiformes"
"166","Achoerodus viridis","Achoerodus",NA,"Labridae","Labriformes"
"167","Achondrostoma arcasii","Achondrostoma","Leuciscinae","Cyprinidae","Cypriniformes"
"168","Achondrostoma occidentale","Achondrostoma","Leuciscinae","Cyprinidae","Cypriniformes"
"169","Achondrostoma oligolepis","Achondrostoma","Leuciscinae","Cyprinidae","Cypriniformes"
"170","Acinocheirodon melanogramma","Acinocheirodon","Cheirodontinae","Characidae","Characiformes"
"171","Acipenser baerii","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"172","Acipenser brevirostrum","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"173","Acipenser dabryanus","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"174","Acipenser fulvescens","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"175","Acipenser gueldenstaedtii","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"176","Acipenser medirostris","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"177","Acipenser mikadoi","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"178","Acipenser naccarii","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"179","Acipenser nudiventris","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"180","Acipenser oxyrinchus","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"181","Acipenser persicus","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"182","Acipenser ruthenus","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"183","Acipenser schrenckii","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"184","Acipenser sinensis","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"185","Acipenser stellatus","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"186","Acipenser sturio","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"187","Acipenser transmontanus","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes"
"188","Acreichthys tomentosus","Acreichthys",NA,"Monacanthidae","Tetraodontiformes"
"189","Acrocheilus alutaceus","Acrocheilus","Laviniinae","Cyprinidae","Cypriniformes"
"190","Acrochordonichthys rugosus","Acrochordonichthys","Parakysinae","Akysidae","Siluriformes"
"191","Acropoma hanedai","Acropoma",NA,"Acropomatidae","Pempheriformes"
"192","Acropoma japonicum","Acropoma",NA,"Acropomatidae","Pempheriformes"
"193","Acrossocheilus beijiangensis","Acrossocheilus","Acrossocheilinae","Cyprinidae","Cypriniformes"
"194","Acrossocheilus fasciatus","Acrossocheilus","Acrossocheilinae","Cyprinidae","Cypriniformes"
"195","Acrossocheilus hemispinus","Acrossocheilus","Acrossocheilinae","Cyprinidae","Cypriniformes"
"196","Acrossocheilus iridescens","Acrossocheilus","Acrossocheilinae","Cyprinidae","Cypriniformes"
"197","Acrossocheilus kreyenbergii","Acrossocheilus","Acrossocheilinae","Cyprinidae","Cypriniformes"
"198","Acrossocheilus monticola","Acrossocheilus","Acrossocheilinae","Cyprinidae","Cypriniformes"
"199","Acrossocheilus paradoxus","Acrossocheilus","Acrossocheilinae","Cyprinidae","Cypriniformes"
"200","Acrossocheilus parallens","Acrossocheilus","Acrossocheilinae","Cyprinidae","Cypriniformes"
"201","Acrossocheilus spinifer","Acrossocheilus","Acrossocheilinae","Cyprinidae","Cypriniformes"
"202","Adelosebastes latens","Adelosebastes","Sebastolobinae","Sebastidae","Perciformes"
"203","Adinia xenica","Adinia",NA,"Fundulidae","Cyprinodontiformes"
"204","Adontosternarchus clarkae","Adontosternarchus","Apteronotinae","Apteronotidae","Gymnotiformes"
"205","Adrianichthys oophorus","Adrianichthys","Adrianichthyinae","Adrianichthyidae","Beloniformes"
"206","Aeoliscus strigatus","Aeoliscus","Centriscinae","Centriscidae","Syngnathiformes"
"207","Aequidens chimantanus","Aequidens","Cichlasomatinae","Cichlidae","Cichliformes"
"208","Aequidens diadema","Aequidens","Cichlasomatinae","Cichlidae","Cichliformes"
"209","Aequidens metae","Aequidens","Cichlasomatinae","Cichlidae","Cichliformes"
"210","Aequidens patricki","Aequidens","Cichlasomatinae","Cichlidae","Cichliformes"
"211","Aequidens potaroensis","Aequidens","Cichlasomatinae","Cichlidae","Cichliformes"
"212","Aequidens tetramerus","Aequidens","Cichlasomatinae","Cichlidae","Cichliformes"
"213","Aequidens tubicen","Aequidens","Cichlasomatinae","Cichlidae","Cichliformes"
"214","Aetapcus maculatus","Aetapcus",NA,"Pataecidae","Perciformes"
"215","Aethaloperca rogaa","Aethaloperca",NA,"Serranidae","Perciformes"
"216","Aethotaxis mitopteryx mitopteryx","Aethotaxis",NA,"Nototheniidae","Perciformes"
"217","Afurcagobius tamarensis","Afurcagobius","Gobiinae","Gobiidae","Gobiiformes"
"218","Agamyxis albomaculatus","Agamyxis","Astrodoradinae","Doradidae","Siluriformes"
"219","Agamyxis pectinifrons","Agamyxis","Astrodoradinae","Doradidae","Siluriformes"
"220","Ageneiosus atronasus","Ageneiosus",NA,"Auchenipteridae","Siluriformes"
"221","Ageneiosus inermis","Ageneiosus","Auchenipterinae","Auchenipteridae","Siluriformes"
"222","Ageneiosus ucayalensis","Ageneiosus","Auchenipterinae","Auchenipteridae","Siluriformes"
"223","Agoniates anchovia","Agoniates","Agoniatinae","Triportheidae","Characiformes"
"224","Agoniates halecinus","Agoniates","Agoniatinae","Triportheidae","Characiformes"
"225","Agonopsis sterletus","Agonopsis","Agoninae","Agonidae","Perciformes"
"226","Agonopsis vulsa","Agonopsis","Agoninae","Agonidae","Perciformes"
"227","Agonostomus catalai","Agonostomus",NA,"Mugilidae","Mugiliformes"
"228","Agonostomus monticola","Agonostomus",NA,"Mugilidae","Mugiliformes"
"229","Agonostomus telfairii","Agonostomus",NA,"Mugilidae","Mugiliformes"
"230","Agonus cataphractus","Agonus","Agoninae","Agonidae","Perciformes"
"231","Agosia chrysogaster","Agosia","Pogonichthyinae","Cyprinidae","Cypriniformes"
"232","Ahlia egmontis","Ahlia","Myrophinae","Ophichthidae","Anguilliformes"
"233","Ahliesaurus berryi","Ahliesaurus",NA,"Notosudidae","Aulopiformes"
"234","Aidablennius sphynx","Aidablennius","Salariinae","Blenniidae","Blenniiformes"
"235","Ailia coila","Ailia",NA,"Schilbeidae","Siluriformes"
"236","Akarotaxis nudiceps","Akarotaxis","Bathydraconinae","Bathydraconidae","Perciformes"
"237","Akihito futuna","Akihito","Sicydiinae","Gobiidae","Gobiiformes"
"238","Akihito vanuatu","Akihito","Sicydiinae","Gobiidae","Gobiiformes"
"239","Akrokolioplax bicornis","Akrokolioplax",NA,"Cyprinidae","Cypriniformes"
"240","Akysis brachybarbatus","Akysis","Akysinae","Akysidae","Siluriformes"
"241","Akysis longifilis","Akysis","Akysinae","Akysidae","Siluriformes"
"242","Akysis prashadi","Akysis","Akysinae","Akysidae","Siluriformes"
"243","Albatrossia pectoralis","Albatrossia",NA,"Macrouridae","Gadiformes"
"244","Albula argentea","Albula","Albulinae","Albulidae","Albuliformes"
"245","Albula esuncula","Albula","Albulinae","Albulidae","Albuliformes"
"246","Albula gilberti","Albula","Albulinae","Albulidae","Albuliformes"
"247","Albula glossodonta","Albula","Albulinae","Albulidae","Albuliformes"
"248","Albula koreana","Albula","Albulinae","Albulidae","Albuliformes"
"249","Albula nemoptera","Albula","Albulinae","Albulidae","Albuliformes"
"250","Albula vulpes","Albula","Albulinae","Albulidae","Albuliformes"
"251","Albulichthys albuloides","Albulichthys","Cyprininae","Cyprinidae","Cypriniformes"
"252","Alburnoides bipunctatus","Alburnoides","Leuciscinae","Cyprinidae","Cypriniformes"
"253","Alburnoides eichwaldii","Alburnoides","Leuciscinae","Cyprinidae","Cypriniformes"
"254","Alburnoides fasciatus","Alburnoides","Leuciscinae","Cyprinidae","Cypriniformes"
"255","Alburnoides kubanicus","Alburnoides","Leuciscinae","Cyprinidae","Cypriniformes"
"256","Alburnoides ohridanus","Alburnoides","Leuciscinae","Cyprinidae","Cypriniformes"
"257","Alburnoides prespensis","Alburnoides","Leuciscinae","Cyprinidae","Cypriniformes"
"258","Alburnus albidus","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"259","Alburnus alburnus","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"260","Alburnus arborella","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"261","Alburnus baliki","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"262","Alburnus belvica","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"263","Alburnus chalcoides","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"264","Alburnus escherichii","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"265","Alburnus filippii","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"266","Alburnus hohenackeri","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"267","Alburnus macedonicus","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"268","Alburnus mossulensis","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"269","Alburnus orontis","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"270","Alburnus tarichi","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"271","Alburnus thessalicus","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"272","Alburnus volviticus","Alburnus","Leuciscinae","Cyprinidae","Cypriniformes"
"273","Alcolapia alcalica","Alcolapia",NA,"Cichlidae","Cichliformes"
"274","Alcolapia grahami","Alcolapia",NA,"Cichlidae","Cichliformes"
"275","Aldrichetta forsteri","Aldrichetta",NA,"Mugilidae","Mugiliformes"
"276","Aldrovandia affinis","Aldrovandia",NA,"Halosauridae","Notacanthiformes"
"277","Aldrovandia phalacra","Aldrovandia",NA,"Halosauridae","Notacanthiformes"
"278","Alectis alexandrina","Alectis","Caranginae","Carangidae","Carangiformes"
"279","Alectis ciliaris","Alectis","Caranginae","Carangidae","Carangiformes"
"280","Alectis indica","Alectis","Caranginae","Carangidae","Carangiformes"
"281","Alectrias alectrolophus","Alectrias","Alectriinae","Stichaeidae","Perciformes"
"282","Alectrias benjamini","Alectrias","Alectriinae","Stichaeidae","Perciformes"
"283","Alepes djedaba","Alepes","Caranginae","Carangidae","Carangiformes"
"284","Alepes kleinii","Alepes","Caranginae","Carangidae","Carangiformes"
"285","Alepes melanoptera","Alepes","Caranginae","Carangidae","Carangiformes"
"286","Alepes vari","Alepes","Caranginae","Carangidae","Carangiformes"
"287","Alepidomus evermanni","Alepidomus","Atherinomorinae","Atherinidae","Atheriniformes"
"288","Alepisaurus brevirostris","Alepisaurus",NA,"Alepisauridae","Aulopiformes"
"289","Alepisaurus ferox","Alepisaurus",NA,"Alepisauridae","Aulopiformes"
"290","Alepocephalus agassizii","Alepocephalus",NA,"Alepocephalidae","Alepocephaliformes"
"291","Alepocephalus antipodianus","Alepocephalus",NA,"Alepocephalidae","Alepocephaliformes"
"292","Alepocephalus bairdii","Alepocephalus",NA,"Alepocephalidae","Alepocephaliformes"
"293","Alepocephalus bicolor","Alepocephalus",NA,"Alepocephalidae","Alepocephaliformes"
"294","Alepocephalus owstoni","Alepocephalus",NA,"Alepocephalidae","Alepocephaliformes"
"295","Alepocephalus tenebrosus","Alepocephalus",NA,"Alepocephalidae","Alepocephaliformes"
"296","Alestes baremoze","Alestes",NA,"Alestidae","Characiformes"
"297","Alestes dentex","Alestes",NA,"Alestidae","Characiformes"
"298","Alestes inferus","Alestes",NA,"Alestidae","Characiformes"
"299","Alestes liebrechtsii","Alestes",NA,"Alestidae","Characiformes"
"300","Alestes macrophthalmus","Alestes",NA,"Alestidae","Characiformes"
"301","Alestopetersius bifasciatus","Alestopetersius",NA,"Alestidae","Characiformes"
"302","Alestopetersius caudalis","Alestopetersius",NA,"Alestidae","Characiformes"
"303","Alestopetersius conspectus","Alestopetersius",NA,"Alestidae","Characiformes"
"304","Alestopetersius hilgendorfi","Alestopetersius",NA,"Alestidae","Characiformes"
"305","Alestopetersius tumbensis","Alestopetersius",NA,"Alestidae","Characiformes"
